index,video_id,start_frame,end_frame,main_object_caption,background_caption,style_caption,camera_caption,short_caption,dense_caption,fps,start_timestep,end_timestep,,
000000008783_AJp_ANXoGoM-000114,AJp_ANXoGoM,163272,166872," some are closely inspecting the vehicles, others are conversing, and a few are capturing the moment with their cameras. The vehicles are stationary, positioned to showcase their design and features. Throughout the video, the camera's movement suggests that the viewer is walking through the show, stopping occasionally to focus on specific details of the vehicles.","An indoor exhibition space, likely a convention center or similar venue. The area is well-lit, with artificial lighting that highlights the vehicles and creates a bright, inviting environment. Booths and displays with branding and signage are visible, indicating the presence of various automotive-related companies. The crowd is a mix of casual visitors and possibly industry professionals, with no indication of the weather outside as the event is indoors.","The visual, photographic, and artistic style of the video is dynamic and polished, with a focus on the aesthetic appeal of the vehicles and the lively atmosphere of the car show.","The view shot includes a mix of wide-angle shots that capture the scope of the event and close-up shots that focus on the details of the vehicles. The camera movement is smooth, suggesting the use of a stabilizing device, and it transitions from one vehicle to another, sometimes panning across to follow the action or to showcase the vehicles from different angles. There are no abrupt changes in shooting angles, and the camera work contributes to a sense of immersion in the event.",A group of people looking at cars on display.,"The vibrant atmosphere of an indoor car show, where a variety of vehicles, including custom motorcycles and high-end sports cars, are on display. The attendees, a diverse group of people, are seen examining the vehicles, taking photos, and interacting with each other. The cars and motorcycles are the stars of the show, with their polished surfaces gleaming under the exhibition hall lighting. The camera moves through the crowd, focusing on the intricate details of the vehicles, such as the reflective chrome parts and the sleek lines of the car bodies.",30,1:30:42,1:32:42,,
000000008003_bFPlCi36RSQ-000623,bFPlCi36RSQ,913907,915766,"Throughout the video, the main subjects are the people and vehicles. The pedestrians are engaged in typical urban activities such as walking, talking, and waiting to cross the street. Their movements are fluid and purposeful, indicative of city dwellers accustomed to the pace of their environment. Vehicles traverse the scene, some pausing momentarily in traffic, while others pass by smoothly, their presence punctuating the flow of pedestrian traffic.","A city street at night, illuminated by the artificial glow of streetlights, storefronts, and neon signs. The architecture suggests a commercial district with shops and eateries, their facades adorned with bright signage. The weather appears clear, and the artificial lighting reflects off the surfaces, hinting at a possibly recently wet street that enhances the luminosity of the scene. The time is clearly night, as evidenced by the dark sky and the prevalence of artificial lighting.","The video's visual style is characterized by a high-contrast, nocturnal urban aesthetic with a focus on the interplay of light and shadow, highlighting the vibrancy and diversity of city life at night.","The camera captures the scene from a fixed perspective, maintaining a consistent view of the street. There is no significant movement or change in angle, allowing for a stable observation of the ongoing activities. The framing is such that both the pedestrian and vehicular traffic are given equal prominence, creating a comprehensive view of the street's dynamics.","A busy city street at night with people walking, cars, and buses.","The vibrant atmosphere of a bustling city street at night, teeming with activity and life. Pedestrians of various appearances navigate the sidewalks, some in casual attire while others are more formally dressed, reflecting the diversity of the urban environment. Vehicles, including cars and buses, move along the street, their headlights and taillights adding to the dynamic tapestry of lights. Storefronts and billboards with bright, illuminated signage contribute to the visual cacophony, offering a glimpse into the commercial aspect of the cityscape. The overall scene is one of constant motion and energy, characteristic of a metropolis after dark.",30,8:27:44,8:28:46,,
000000008563_wwqUCcOZBT0-000024,wwqUCcOZBT0,66197,69074,"The cobblestone street itself and the progression of activity along it. Initially, the street is tranquil, with few visible pedestrians. As the video moves forward, individuals and groups begin to appear, walking and interacting with their surroundings. The movement of people becomes more dynamic towards the end, where the street is filled with a diverse crowd, some browsing at outdoor stalls and others simply enjoying their walk.","Characterized by the old city's charm, with its historic buildings, stone walls, and narrow streets. The weather appears overcast, suggesting a cool or mild climate, and the time seems to be during the day, given the natural light. The presence of leafless trees indicates it might be autumn or winter. The final scenes reveal a more open space with street vendors and a larger congregation of people, indicating a popular area for socializing and commerce.","The visual, photographic, and artistic style of the video is naturalistic and documentary-like, capturing the essence of the old city street with a focus on realism and continuity.","The view shot and camera movement in the video are steady and continuous, providing a smooth transition from one frame to the next. The camera appears to move forward along the street, maintaining a consistent eye-level perspective that allows viewers to feel as if they are walking down the street themselves. There are no abrupt changes in shooting angles, which helps to create a cohesive and immersive experience.",People are walking down a cobblestone street in an old city.,"A sequence of scenes from a cobblestone street in an old city. It begins with a quiet, nearly empty street lined with historic buildings and a stone wall, gradually transitioning to a more vibrant area with increasing pedestrian activity. The atmosphere is that of a typical European old town, with narrow streets, classic architecture, and a sense of history. As the video progresses, the presence of people becomes more pronounced, culminating in a bustling area where locals and tourists alike are walking, shopping, and engaging with street vendors.",23.97602398,0:46:01,0:48:01,,
000000008062_jOsRx52b06c-000044,jOsRx52b06c,105245,108845,"A person, is seen walking at a leisurely pace along a path that cuts through the ancient ruins and natural landscape. They appear to be exploring the area, moving from the open spaces between the large arches into a more enclosed tunnel. Their movement is consistent and unhurried, suggesting a relaxed and contemplative stroll through the historic site.","A picturesque scene of an ancient city in ruins, with large brick arches and remnants of structures that speak to a bygone era. The setting is peaceful and natural, with trees, bushes, and grasses softly swaying in the light breeze. The time appears to be late afternoon or early evening, as indicated by the long shadows and the warm, soft light that bathes the scene, likely the golden hour before sunset.","The video exhibits a cinematic and picturesque quality, utilizing natural lighting and the historical setting to create a visually rich and contemplative narrative.","The camera follows a steady, linear path, maintaining a consistent distance from the main subject. It captures the scene from a series of angles that alternate between showcasing the expansive ruins and focusing on the path ahead. As the person enters the tunnel, the camera angle shifts to frame them against the light at the end of the tunnel, creating a silhouette effect.",There is a person walking on a path surrounded by trees and ruins of an ancient city.,"A serene and historical ambiance as a person walks through a path surrounded by the lush greenery and the majestic ruins of an ancient city. The ruins feature large arches and weathered brick walls, hinting at a grand past. The path is well-trodden and flanked by trees and grass, with the golden hour sunlight casting a warm glow over the scene. Other visitors can be seen in the distance, enjoying the tranquil environment. As the person progresses, they pass through a tunnel-like structure, where the play of light and shadow creates a dramatic effect, enhancing the sense of exploration and discovery.",30,0:58:28,1:00:28,,
000000009057_ZBTXyiTrARQ-000020,ZBTXyiTrARQ,70472,74068,"A cyclist, is seen navigating through the city streets. Starting on a quieter street, the cyclist passes by shops with inviting warm lighting and continues through intersections and alongside parked cars. The rider's movement is fluid and uninterrupted, suggesting a familiarity with the route. The bicycle's lights are on, ensuring visibility as the evening darkens.","A cityscape at twilight, with the sky dimming as the video progresses. The streets are moderately busy with pedestrians and occasional vehicles. The architecture is a mix of residential buildings, small businesses, and modern commercial spaces. Streetlights and building lights provide illumination, and the weather appears clear and calm.","The visual style of the video is naturalistic and immersive, capturing the tranquil ambiance of a city transitioning from day to night with a steady, first-person perspective.","The camera angle is consistent throughout the video, maintaining a first-person perspective that likely mimics the cyclist's point of view. The camera moves smoothly, following the natural motion of cycling, and there are no abrupt changes in direction or speed. This steady camera work allows for an immersive experience as if the viewer is the one riding the bicycle.","A person is riding a bicycle on a city street at night, passing by various buildings and cars.","The essence of a city at dusk, with the sky transitioning from the last hints of daylight to the onset of night. A person rides a bicycle along the city streets, weaving through the urban landscape that is a mix of residential and commercial areas. The streets are lined with a variety of buildings, from cozy eateries to modern storefronts, all under the soft glow of streetlights and the occasional bright signage. The cyclist moves at a steady pace, allowing viewers to take in the serene atmosphere of the city in the evening.",29.97002997,0:39:11,0:41:11,,
000000010121_msqgQmymo6U-000002,msqgQmymo6U,7192,10788,"Throughout the video, the main subjects are the pedestrians who are walking at a leisurely pace. They are scattered across the walkway, maintaining a casual flow of movement. Their attire suggests a warm and comfortable climate, and their relaxed demeanor indicates a peaceful setting. The fountain in the early part of the video adds a dynamic element as water sprays rhythmically, while the statue towards the end stands still, providing a contrast to the moving subjects.","Features a blend of natural and urban elements. The plaza with the fountain is surrounded by buildings that suggest a downtown area, while the walkway is bordered by lush greenery, indicating well-kept urban parks or gardens. The clear blue sky suggests fair weather, and the bright sunlight indicates daytime, possibly morning or afternoon given the angle of the shadows.","The video showcases a wide-angle, high-definition view with vivid colors and a clear focus, capturing the tranquility and beauty of a city's public space in a documentary-style presentation.","The camera appears to move smoothly along the walkway, maintaining a consistent level and distance from the ground, providing a continuous perspective of the environment. The angle of the shots changes as the camera progresses, starting with a frontal view of the fountain and transitioning to a path leading towards the statue, suggesting a linear path of travel.","People are walking on a sidewalk in a city, and there is a fountain in the middle of the street.","A serene urban scene where people are leisurely walking along a wide sidewalk in a city. The initial frames show a modern plaza with a reflective surface, where water jets from a fountain create a playful and refreshing atmosphere. As the video progresses, the perspective shifts away from the fountain plaza to a tree-lined walkway, with well-maintained grassy areas on either side. Pedestrians of various ages can be seen strolling, some alone and others in groups, indicating a relaxed urban environment. The latter part of the video reveals a statue prominently positioned at the end of the walkway, adding a historical or cultural dimension to the cityscape.",29.97,0:04:00,0:06:00,,
000000008332_DwICjaTTxgo-000006,DwICjaTTxgo,5826,8703,"There are no main subjects such as people or animals that are the focus of the video. Instead, the video's main subject is the changing urban landscape itself. The sequence shows a transition from a pedestrian-friendly street with sidewalks to an area with construction barriers and finally to a riverside scene with the bridge as a focal point.","A cityscape that includes a mix of architectural styles, from red-brick buildings to industrial metal structures. The weather appears to be clear and sunny, with blue skies and minimal cloud cover. The time seems to be during the day, given the shadows and the brightness of the sunlight.","The visual, photographic, and artistic style of the video is realistic with a clear, bright, and high-contrast depiction of an urban environment during a sunny day.","The camera movement is smooth and appears to be a tracking shot moving forward through the city street. The shooting angle is mostly at street level, providing a first-person perspective of the environment. The camera angle shifts slightly upwards as the video progresses, especially as the bridge becomes the central element in the later frames.",A view of a city street with a bridge in the background.,"The video presents a panoramic journey through a city street leading towards a bridge. The sequence begins with a view of a well-maintained urban area, featuring red-brick buildings with large windows and street lamps, and transitions towards a more industrial setting with metal structures and a bridge in the background. The progression of the frames suggests a movement from a commercial zone towards a waterfront area, with the bridge becoming increasingly prominent in the view.",23.97602398,0:04:03,0:06:03,,
000000010086_1xIkp8GVsoU-000012,1xIkp8GVsoU,43152,46748,"The car's movement along the forest road. The car maintains a steady pace, following the curves of the road as it ascends and descends through the terrain. The car's position shifts from one side of the lane to the other as it negotiates the bends, and at one point, it passes by a stationary piece of orange machinery, possibly related to road maintenance or forestry work.","Predominantly a dense forest with a variety of trees and underbrush. The road is bordered by wooden guardrails in some sections and stone walls in others, suggesting a well-traveled route that requires safety measures. The weather appears to be clear and sunny, with the sun at a high angle indicating either late morning or early afternoon. The light creates a warm and inviting atmosphere, with the sun's rays occasionally causing lens flare in the video.","The visual style of the video is naturalistic and documentary-like, with an emphasis on realism and continuity, capturing the essence of a leisurely drive through a scenic forested area.","The camera angle is consistent throughout the video, fixed to the front of the car, providing a first-person perspective of the drive. There is no noticeable camera movement independent of the car's motion; the camera's view is steady, with the road and surrounding landscape flowing smoothly into the frame as the car advances. The angle captures both the road ahead and the car's hood, grounding the viewer in the driving experience.","A car is driving on a winding road in the forest, passing by trees and bushes.","The experience of driving on a serpentine road that meanders through a dense forest. The perspective is from the driver's point of view, providing an immersive sense of navigating the winding road. Sunlight filters through the trees, creating dynamic lighting and casting shadows on the road. As the journey progresses, the car passes by various natural features such as lush greenery, rock formations, and the occasional roadside machinery, enhancing the sense of a journey through a secluded woodland area.",29.97,0:24:00,0:26:00,,
000000008642_QGbieu9OfGo-000018,QGbieu9OfGo,51786,54663,"The main subjects in the video are the pedestrians and vehicles. The pedestrians are seen walking along the sidewalks, some alone and others in groups, engaged in casual strolls or purposeful strides. Vehicles are mostly stationary, parked on the side of the street, but a few are seen in motion, driving slowly through the street. The overall movement is calm and orderly, with no apparent rush or congestion.","Features a city street with a mix of commercial and residential buildings. The weather appears overcast, and the lack of leaves on the trees suggests it's either late fall or winter. The time of day is not clearly indicated, but the absence of shadows and the diffused lighting suggest it could be midday or early afternoon. The street is well-maintained with clear sidewalks and no visible litter or debris.","The video features a documentary-style visual approach with a wide-angle perspective, natural lighting, and a focus on capturing the everyday life and atmosphere of the city street.","The camera moves smoothly along the street, providing a continuous and flowing perspective of the surroundings. It appears to be a tracking shot, possibly filmed using a stabilizing device or a drone, as the movement is steady and there are no abrupt changes in angles or positions. The camera captures the street from different vantage points, alternating between closer views of the buildings and shops and wider shots that encompass more of the street and its activity.",A view of a city street with cars parked on the side of the street.,"The video presents a panoramic view of a city street bustling with activity. The street is lined with a variety of establishments, including quaint shops and eateries, which exude a local, community-oriented vibe. Vehicles are parked along the curb, and pedestrians are seen walking on the sidewalks, contributing to the urban atmosphere. The architecture is a mix of traditional and modern styles, with some buildings featuring wooden facades and others with brick exteriors. The overcast sky suggests a cool or possibly chilly day, and the bare trees indicate it might be late autumn or winter.",23.97602398,0:36:00,0:38:00,,
000000008542_cqIsdayrsb8-000011,cqIsdayrsb8,28796,31673,"The movement of the car as it drives down the street. The car passes by stationary vehicles and navigates through the urban landscape, maintaining a steady pace. The car's position changes from being surrounded by closely parked cars to more open stretches of road, providing a dynamic perspective of the city environment.","The background consists of a variety of buildings, including residential apartments and possibly commercial structures. The presence of traffic signs and parked cars indicates an active, regulated urban area. The weather appears overcast, with no direct sunlight, and the time seems to be during the day given the visibility and the functioning street lights.","The visual, photographic, and artistic style of the video is naturalistic and documentary, capturing the essence of the city environment with a straightforward, unembellished approach.","The camera's viewpoint is consistent with that of a passenger or a dashboard-mounted perspective, providing a first-person view of the drive. The camera moves smoothly, following the car's trajectory down the street, with no abrupt changes in angles or sudden movements, creating a continuous and fluid visual experience.","A car is driving down a street in the city, passing by buildings and cars parked on the side of the road.","A journey through a city street, showcasing a mix of modern and traditional architecture. The viewer is taken on a drive past various buildings, some with colorful facades and others with graffiti, reflecting a diverse urban environment. Cars are parked along the curbside, and traffic signs are visible, indicating a functional cityscape. The overcast sky suggests a gloomy or cloudy day, adding a subdued tone to the urban setting.",23.97602398,0:20:01,0:22:01,,
