clip_id,source,video_url,video_id,width,height,fps,seconds,timestamp,frame_number,framestamp,file_path,short_caption,dense_caption,background_caption,main_object_caption,style_caption,camera_caption
0.4,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=AG2NSO20zkI,AG2NSO20zkI,1280,720,30.0,80.833,"['00:06:21.300', '00:07:42.133']",2425,"[11439, 13864]",video_clips/000000000/000000000000.4.mp4,A person riding a motorcycle in a video game.,"A virtual motorcycle ride through a bustling urban environment in a video game. The rider, clad in a yellow jacket, navigates the motorcycle through various cityscapes, including back alleys, main streets, and highways. The city is rich in detail, with dynamic weather conditions and a diverse array of pedestrians and vehicles populating the streets. The journey captures the essence of a high-speed chase or a time-sensitive mission, with the rider skillfully maneuvering around obstacles and traffic.","A detailed urban environment that transitions from a grimy alleyway to vibrant city streets and then to a highway. The city is alive with activity; pedestrians are walking, and vehicles are driving alongside the rider. The weather appears overcast, with wet roads reflecting the urban lights, hinting at recent rain. The time seems to be during the day, with sufficient ambient light illuminating the city's architecture and billboards.","A person wearing a yellow jacket, is riding a motorcycle. They start in a narrow alley, accelerate onto a busier city street, and continue through a densely populated urban area with pedestrians and traffic. The rider's movements are fluid and responsive, suggesting a gameplay mechanic that prioritizes speed and agility. The motorcycle's position shifts from the alley to the main road and then onto a highway, indicating a progression through different zones of the city.","The visual, photographic, and artistic style of the video is realistic with a touch of hyperrealism, emphasizing vivid colors, dynamic lighting, and a detailed environment to create an immersive gaming experience.","The view shot starts with a third-person perspective from behind the motorcycle, maintaining this angle throughout the video. The camera follows the rider closely, allowing for a clear view of the immediate surroundings and the road ahead. As the motorcycle accelerates, the camera seems to slightly shake, enhancing the sense of speed. There are no drastic changes in shooting angles, providing a consistent and immersive experience."
0.5,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=AG2NSO20zkI,AG2NSO20zkI,1280,720,30.0,79.267,"['00:07:42.133', '00:09:01.400']",2378,"[13864, 16242]",video_clips/000000000/000000000000.5.mp4,A group of people walking down a street in a video game.,"A dynamic urban environment within a video game, where a group of virtual characters is seen traversing a street that exhibits signs of dilapidation and abandonment. The atmosphere is heavy with a sense of dystopia, as the weather is overcast with rain, adding a layer of gloom to the already desolate cityscape. The architecture is a mix of futuristic structures and neglected buildings, hinting at a world that has seen better days. The characters move through this setting, interacting with each other and the surroundings, while vehicles navigate the wet roads, contributing to the sense of ongoing life in this virtual world.","A rich tapestry of a futuristic yet run-down city with a blend of advanced and decaying architecture. Palm trees and overgrown foliage suggest a once-thriving cityscape now in decline. The weather is consistently rainy, creating slick surfaces that reflect the sparse lighting from the buildings and street lamps. The time appears to be either dawn or dusk, contributing to the low-light conditions that pervade the scene.","The main subjects, a group of virtual characters, are depicted engaging in various activities as they move through the street. They walk and interact with one another, some carrying items, while others seem to be in a hurry, reflecting a range of behaviors typical of an urban setting. Their attire varies, suggesting a diverse population. Vehicles are also a significant part of the action, driving through the streets, some stopping, others accelerating, adding to the urban chaos.","The visual, photographic, and artistic style is reminiscent of a cinematic post-apocalyptic narrative, with a muted color palette, realistic textures, and a focus on atmospheric effects such as rain and reflective surfaces.","The camera movement is fluid, tracking the movement of the characters and vehicles, providing a sense of immersion into the game world. The shooting angles vary, offering both street-level views that capture the action and interactions, as well as elevated perspectives that reveal the extent of the urban decay and the juxtaposition of nature reclaiming the built environment."
231.4,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=-iYMXRQCqCw,-iYMXRQCqCw,1280,720,30.0,112.966,"['00:09:47.567', '00:11:40.533']",3389,"[17627, 21016]",video_clips/000000000/000000000231.4.mp4,A person walking down a cobblestone path in a video game.,"A third-person perspective of a character navigating through a virtual landscape. The character, clad in medieval armor and bearing a shield, progresses along a cobblestone path that meanders through a dense, verdant forest. As the journey continues, the environment transitions from the forested path to a more open area with a mystical structure, hinting at a change in the setting or possibly the introduction of a new quest or location. The character's movement is steady and exploratory, suggesting a player-controlled avatar on a quest or journey within the game world.","The background begins with a dense forest setting, featuring tall pine trees, underbrush, and a well-trodden cobblestone path. As the video progresses, the scenery includes large boulders and a clearer view of the sky, suggesting a transition to a less dense part of the forest. Eventually, the character approaches a mystical stone structure with runic carvings and a glowing blue hue, indicating a place of significance within the game world. The weather appears overcast, and the time seems to be daytime with natural ambient lighting.","A character dressed in medieval attire with a prominent shield on their back, is seen walking down the path. The character's actions are consistent with player-controlled movement, starting on the cobblestone path, moving through the forest, and approaching a mystical stone structure. The character's position shifts from the center of the path to the side as they navigate the terrain, and their movement is forward-facing throughout the sequence, indicating progression through the game's environment.","The visual, photographic, and artistic style of the video is characterized by a realistic and immersive rendering of a fantasy game world, with detailed textures, naturalistic lighting, and a cohesive color palette that enhances the sense of being in a medieval forest environment.","The camera maintains a consistent third-person view from behind the character, providing a clear view of the character's actions and the immediate environment. The camera angle is steady, with minimal changes in perspective, allowing for an uninterrupted view of the character's journey. There are no sudden movements or shifts in the camera's position, creating a smooth visual experience that follows the character's progression through the game world."
233.2,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=ViZdX5E3mRA,ViZdX5E3mRA,1280,720,30.0,42.6,"['00:04:04.300', '00:04:46.900']",1278,"[7329, 8607]",video_clips/000000000/000000000233.2.mp4,A person is walking through an old castle with stone walls and arches.,"A person exploring the ancient interiors and exteriors of a stone castle. The journey begins inside a dimly lit corridor with arched doorways, leading to a sunlit exit. The explorer then traverses the castle's outdoor stone staircases and ramparts, revealing breathtaking mountainous landscapes in the background. The atmosphere is medieval, with a sense of solitude and historical grandeur.","The castle's aged stone walls, arched doorways, and torch-lit corridors, transitioning to the rugged outdoor ramparts with panoramic views of distant mountains and a cloudy sky. The setting is reminiscent of a bygone era, possibly medieval times, with a sense of historical authenticity.","A person likely dressed in period-appropriate attire, begins by walking through the castle's interior corridors, moving towards the light at the end of the tunnel. They then emerge outside, navigating the stone steps and walkways, occasionally pausing to take in the surrounding views or interact with objects or other characters present in the castle.","The visual style is cinematic and immersive, with a realistic depiction of a medieval castle and its surroundings, enhanced by natural lighting and a detailed environment.","The camera movement follows the person from a third-person perspective, smoothly transitioning from indoor to outdoor scenes. The shooting angles vary from level to high-angle shots, capturing the scale of the castle and the vastness of the landscape. The camera occasionally focuses on details such as the person's interactions or the architectural features of the castle."
864.3,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=5I2SnLsGWhY,5I2SnLsGWhY,1280,720,29.97,60.728,"['00:07:42.095', '00:08:42.823']",1820,"[13849, 15669]",video_clips/000000000/000000000864.3.mp4,A person is walking through a forest in a video game.,"A journey of a character through diverse landscapes within a lush, expansive forest in a video game setting. The character, clad in medieval armor and carrying a backpack and a sword, traverses through various parts of the forest, moving from densely wooded areas to more open fields. As the video progresses, the environment shifts from bright and sunny patches to darker, moodier areas with mist and ruins, suggesting a progression in the narrative or a change in the time of day. The character's movement is steady and explorative, hinting at a quest or exploration-driven storyline within the game.","The video showcases a richly detailed forest environment that changes as the character moves. It starts in a vibrant, green forest under clear skies, transitions through grassy hills with sparse trees, and ends in a gloomy, mist-covered area with dilapidated wooden buildings and dead trees. This variety in scenery not only enhances the visual appeal but also sets a dynamic backdrop that complements the narrative of the game.","A character dressed in medieval armor, is seen walking and running through different parts of a forest. Initially, the character moves across a sunny, grassy landscape with dense foliage and towering trees. As the sequence progresses, the character's journey takes him through increasingly rugged terrain, including rocky paths and near mountainous regions, before entering a darker, mist-filled area with wooden structures and ruins, suggesting an encounter or a new phase in the game.","The video features a high-definition, realistic artistic style with a dynamic use of lighting and detailed textures that enhance the immersive experience of the game environment.","The camera maintains a third-person perspective throughout the video, staying behind and slightly above the character, providing a clear view of the environment ahead and the character's interactions with it. The camera smoothly follows the character's movements, panning and tilting subtly to emphasize the changing landscapes and the path taken by the character. This consistent viewpoint helps maintain focus on the character while showcasing the expansive game world."
871.4,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=tyqHqPm3upg,tyqHqPm3upg,1280,720,29.97,42.909,"['00:06:30.057', '00:07:12.966']",1286,"[11690, 12976]",video_clips/000000000/000000000871.4.mp4,A video game character walking down a snowy street.,"A video game character, clad in a green tunic with fur-lined shoulders and a metal helmet, walking down a snowy street in a medieval village. The character has a pair of swords strapped to their back, with intricate wing-like designs on the hilts. The street is lined with wooden houses adorned with snow-covered roofs, and the clear blue sky suggests a cold but sunny day. As the character progresses, they pass by various village elements such as barrels, benches, and a central statue.","A quaint medieval village during winter, with snow blanketing the ground and rooftops. Wooden houses with intricate carvings, a central statue possibly depicting a local figure or deity, and various village items like barrels and benches are visible. The environment is bright and clear, indicating daytime, with a backdrop of distant mountains and a crisp blue sky.","A video game character, is seen from a third-person perspective, walking steadily down the center of the snowy street. The character's movement is consistent throughout the frames, suggesting a purposeful stride. They begin near the entrance of the village and move deeper into the settlement, passing by different structures and village decor.","The visual style is realistic with a high level of detail, capturing the essence of a medieval fantasy setting with a winter atmosphere.","The camera maintains a steady third-person view from behind the character, slightly above and angled downwards, allowing a clear view of the character's actions and the path ahead. The camera follows the character's movement smoothly, with no abrupt changes in angles or perspective, creating an immersive experience as if the player is guiding the character through the village."
4988.2,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=z0Z9GgEja8k,z0Z9GgEja8k,1280,720,29.97,93.126,"['00:04:20.394', '00:05:53.520']",2791,"[7804, 10595]",video_clips/000000004/000000004988.2.mp4,A video game with a gun shooting at a building.,"An intense action sequence in a video game, set in a war-torn urban environment. The player, armed with a variety of firearms, engages in combat against multiple enemies amidst the ruins of industrial buildings. Explosions and gunfire dominate the scene as the player maneuvers through the debris-strewn landscape, utilizing cover and tactical positioning. The action is fast-paced, with the player frequently switching weapons and tactics to adapt to the evolving combat scenario, highlighting the game's dynamic combat mechanics and immersive graphical details.","A dilapidated industrial area with damaged buildings and scattered debris, indicative of a recent battle or ongoing war. The setting is gritty, with a muted color palette dominated by grays and browns, enhancing the post-apocalyptic war theme. The environment is interactive, with elements like explosive barrels and destructible cover, contributing to the strategic depth of the game.","The player character, is actively engaged in combat throughout the video. Initially, the player is seen firing a rifle at distant enemies, then using a mounted machine gun, and later throwing grenades. The player's actions include shooting, taking cover, and maneuvering around the environment to gain tactical advantages. The sequence shows the player in various combat situations, highlighting their interaction with the game environment and enemy characters.",The video features a realistic and gritty artistic style with a high level of detail and a dynamic camera that enhances the immersive and intense experience of urban warfare.,"The camera primarily follows the player from a third-person perspective, providing a clear view of the action and the surrounding environment. The camera angles shift dynamically to enhance the intensity of combat scenes, zooming in during gunfights and panning out to show explosions and environmental interactions. This dynamic camera work helps maintain a high level of engagement and immersion."
5477.2,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=_4U-sDY40Ug,_4U-sDY40Ug,1280,720,29.97,55.622,"['00:06:06.400', '00:07:02.022']",1667,"[10981, 12648]",video_clips/000000005/000000005477.2.mp4,The player is in a post-apocalyptic world with snow and ruins of buildings.,"A journey through a desolate, snow-covered post-apocalyptic landscape, with the remnants of civilization scattered around. The viewer follows a character from a first-person perspective, equipped with a detailed and weathered firearm, suggesting survival and combat elements in the environment. The world is bleak yet visually rich, with a mix of ruined architecture, frozen waterways, and skeletal trees under a cloudy sky, hinting at a story of survival and exploration in the aftermath of a cataclysm.","A wintry, post-apocalyptic setting with snow-covered grounds, dilapidated buildings, and abandoned vehicles. The environment is a mix of open spaces and more confined areas, such as a path leading through a gate or a makeshift bridge over water. The weather is overcast, and the time appears to be during the day, with a low sun casting long shadows, enhancing the desolation of the scene.","Seen from a first-person perspective, follows a companion through the snowy ruins. The companion, dressed in warm, survival-oriented gear, leads the way, occasionally pausing and looking around, indicating points of interest or hazards. The main subject's actions include walking along a path, traversing wooden planks over icy water, and following the companion's lead, all while carrying a firearm that suggests readiness for threats.","The visual, photographic, and artistic style is immersive and realistic, with a focus on atmospheric lighting and detailed textures to convey the harshness and beauty of a post-apocalyptic winter landscape.","The camera movement is smooth, maintaining a consistent first-person viewpoint that tracks the movement of the companion character. The shooting angles change as the main subject navigates the terrain, looking ahead to follow the companion or down at the path to negotiate obstacles. The camera occasionally pans to survey the surroundings, emphasizing the scale and detail of the environment."
7029.1,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=PjNpW2k2D1Y,PjNpW2k2D1Y,1280,720,29.97,64.598,"['00:03:11.692', '00:04:16.290']",1936,"[5745, 7681]",video_clips/000000007/000000007029.1.mp4,The player is driving a car in a racing game and competing with other cars on an icy track.,"An intense and dynamic racing game scenario where the player navigates a car on a slippery, icy track amidst a bustling urban environment. The race features multiple competing cars, each distinctively designed with vibrant colors and sponsorship logos. As the race progresses, the player's car maneuvers through tight corners, avoids obstacles, and occasionally collides with competitors, showcasing realistic damage effects like dents and shattered glass. The environment is lively with animated spectators, dynamic weather conditions, and various urban elements like bridges and buildings enhancing the immersive experience.","A vividly depicted urban setting with a clear, blue sky and low sun, suggesting either early morning or late afternoon. The icy track cuts through a cityscape featuring industrial buildings, large animated billboards, and infrastructure like overpasses and bridges. Spectators line the track, and various race-related paraphernalia like flags, cones, and inflatable markers are scattered throughout, adding to the race's lively atmosphere.","The player's car, a white rally car adorned with various logos, starts amidst a cluster of competing vehicles. Throughout the race, it aggressively overtakes and occasionally collides with other cars, demonstrating skilled handling and speed. The car's interaction with the icy surface is evident as it skids and drifts around corners. In later scenes, the car is shown navigating through narrower paths, avoiding barriers, and speeding past urban landmarks.","The video features a high-definition, realistic graphic style with dynamic camera movements and vibrant, detailed environments that emphasize the fast-paced and competitive nature of the racing game.","The camera primarily follows the player's car from a third-person perspective, providing a clear view of the surrounding environment and nearby competitors. The camera angles shift dynamically to emphasize speed, collisions, and tight maneuvers, enhancing the viewer's engagement and the game's intensity. Occasionally, the camera zooms out to show more of the track or focuses closely on the car to highlight specific actions like drifting or impact from collisions."
7035.4,"youtube, 3D engine-rendered scenes",https://www.youtube.com/watch?v=cYgdn_aG2IU,cYgdn_aG2IU,1280,720,29.969,40.975,"['00:07:34.888', '00:08:15.863']",1228,"[13633, 14861]",video_clips/000000007/000000007035.4.mp4,A star wars character standing on a beach with palm trees in the background.,"A Star Wars character, specifically a stormtrooper, navigating a tropical beach environment. The stormtrooper, clad in the iconic white armor, is seen initially standing at the edge of the water, observing the surroundings. As the video progresses, the stormtrooper moves along the beach, engaging in various actions such as aiming with a blaster and walking through the sandy shores. The setting sun casts a warm, golden hue over the scene, enhancing the contrast between the serene beach and the futuristic elements represented by the character and distant structures.","The video is set on a picturesque beach lined with palm trees, under a setting sun that bathes the landscape in a golden light. Futuristic structures and monuments are visible in the distance, creating a stark contrast with the natural environment. The weather appears clear, with the transition from daylight to dusk adding a dynamic change in lighting and mood. This combination of elements sets a unique backdrop that blends natural beauty with sci-fi aesthetics.","The stormtrooper begins by standing at the water's edge, looking around cautiously. In subsequent scenes, the character is seen aiming their blaster towards the horizon, possibly indicating a perceived threat or target. The stormtrooper then transitions to walking along the beach, navigating through palm trees and sandy terrain, maintaining alertness throughout. The character's movements suggest a search or patrol mission, characterized by vigilance and readiness to engage.","The video features a cinematic style with a high dynamic range, capturing the vivid contrasts of the tropical setting and futuristic elements, enhanced by the dramatic lighting of the setting sun.","The camera primarily follows the stormtrooper from a third-person perspective, maintaining a consistent distance that allows for a clear view of the character against the broader landscape. The camera angles shift subtly to emphasize the stormtrooper's actions, such as aiming the blaster or walking, and occasionally pan to highlight the surrounding environment and distant structures. The overall camera movement is smooth, enhancing the immersive experience of the patrol sequence."
